      reads_raw  trim_adapter_bp_read1  trim_quality_bp_read1  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
1A_0      19862                    360                      0                     0                         0                19862
1B_0      20043                    362                      0                     0                         0                20043
1C_0      20136                    349                      0                     0                         0                20136
1D_0      19966                    404                      0                     0                         0                19966
2E_0      20017                    394                      0                     0                         0                20017
2F_0      19933                    376                      0                     0                         0                19933
2G_0      20030                    381                      0                     0                         0                20030
2H_0      20199                    386                      0                     0                         1                20198
3I_0      19885                    372                      0                     0                         0                19885
3J_0      19822                    381                      0                     0                         0                19822
3K_0      19965                    382                      0                     0                         0                19965
3L_0      20008                    424                      0                     0                         0                20008
